Invoice_ID,Branch,Age _Group,Gender,City,Category,Invoice_Amount,Date,Payment_Method,Customer_Rating
21,WALM044,55+,Female,"Indianapolis, IN",Electronic accessories,430.2,12/10/21,Ewallet,4.8
22,WALM088,25-34,Non-Binary,"Charleston, SC",Health and beauty,263.94,11/21/23,Ewallet,5.1
23,WALM083,45-54,Non-Binary,"Charlotte, NC",Home and lifestyle,66.4,12/9/22,Credit card,4.4
24,WALM067,55+,Female,"Nashville, TN",Electronic accessories,172.8,2/20/20,Ewallet,9.9
25,WALM023,35-44,Prefer Not to Say,"New Orleans, LA",Sports and travel,265.89,10/17/23,Ewallet,6
26,WALM001,55+,Male,"New York City, NY",Home and lifestyle,420.72,8/5/21,Credit card,8.5
27,WALM072,25-34,Female,"Hartford, CT",Fashion accessories,33.52,12/25/23,Cash,6.7
28,WALM046,45-54,Female,"Portland, OR",Fashion accessories,175.34,6/13/22,Credit card,7.7
29,WALM012,45-54,Non-Binary,"Milwaukee, WI",Food and beverages,441.8,12/19/19,Cash,9.6
30,WALM075,18-24,Prefer Not to Say,"Baltimore, MD",Health and beauty,224.01,8/5/21,Cash,7.4
31,WALM076,45-54,Female,"Charlotte, NC",Fashion accessories,470.65,10/30/19,Credit card,4.8
32,WALM098,25-34,Female,"Oklahoma City, OK",Sports and travel,702.63,7/5/20,Cash,4.5
33,WALM021,25-34,Prefer Not to Say,"Cheyenne, WY",Sports and travel,670.24,12/1/23,Cash,5.1
34,WALM096,25-34,Prefer Not to Say,"Seattle, WA",Health and beauty,193.16,8/11/22,Credit card,5.1
35,WALM022,18-24,Male,"Detroit, MI",Food and beverages,397.68,11/4/21,Ewallet,7.5
36,WALM095,18-24,Female,"Phoenix, AZ",Sports and travel,68.12,10/23/22,Ewallet,6.8
37,WALM041,25-34,Non-Binary,"Burlington, VT",Sports and travel,313.1,3/2/22,Ewallet,7
38,WALM070,25-34,Female,"Charleston, SC",Electronic accessories,547.92,3/19/19,Ewallet,4.7
39,WALM070,18-24,Non-Binary,"Billings, MT",Health and beauty,439.36,5/7/22,Ewallet,7.6
40,WALM030,18-24,Non-Binary,"Minneapolis, MN",Home and lifestyle,240.96,3/13/21,Cash,7.7
41,WALM033,45-54,Male,"Las Vegas, NV",Home and lifestyle,86.72,4/15/21,Ewallet,7.9
42,WALM088,45-54,Female,"Burlington, VT",Home and lifestyle,112.22,10/16/19,Cash,6.3
43,WALM079,45-54,Female,"Jackson, MS",Sports and travel,414.72,1/12/21,Cash,5.6
44,WALM042,18-24,Prefer Not to Say,"Wichita, KS",Food and beverages,789.6,3/23/21,Cash,7.6
45,WALM036,55+,Female,"Billings, MT",Health and beauty,30.74,4/19/20,Cash,7.2
46,WALM056,45-54,Female,"Providence, RI",Electronic accessories,375.84,1/22/22,Cash,9.5
47,WALM058,45-54,Male,"Little Rock, AR",Health and beauty,510.21,4/28/20,Credit card,8.4
48,WALM015,45-54,Male,"Charleston, WV",Food and beverages,180.09,2/23/19,Ewallet,4.1
49,WALM063,45-54,Non-Binary,"Philadelphia, PA",Electronic accessories,113.58,4/18/23,Credit card,8.1
50,WALM021,35-44,Non-Binary,"Cheyenne, WY",Fashion accessories,826.3,2/23/22,Ewallet,7.9
51,WALM089,25-34,Prefer Not to Say,"Minneapolis, MN",Food and beverages,639.8,12/15/22,Cash,9.5
52,WALM093,35-44,Female,"Birmingham, AL",Food and beverages,222.95,5/26/22,Cash,8.5
53,WALM041,55+,Female,"Salt Lake City, UT",Fashion accessories,71.48,12/21/21,Ewallet,6.5
54,WALM045,35-44,Non-Binary,"Milwaukee, WI",Fashion accessories,15.43,10/16/20,Credit card,6.1
55,WALM005,45-54,Non-Binary,"Phoenix, AZ",Home and lifestyle,32.32,12/21/19,Ewallet,6.5
56,WALM042,55+,Female,"Atlanta, GA",Electronic accessories,687.84,7/30/22,Cash,8.2
57,WALM003,45-54,Male,"Virginia Beach, VA",Home and lifestyle,88.68,10/9/19,Cash,5.8
58,WALM070,45-54,Non-Binary,"Omaha, NE",Health and beauty,716.8,8/2/19,Ewallet,6.6
59,WALM066,25-34,Prefer Not to Say,"Atlanta, GA",Home and lifestyle,723.5,12/22/22,Cash,5.4
60,WALM031,45-54,Prefer Not to Say,"Manchester, NH",Electronic accessories,183.66,10/16/23,Cash,9.3
61,WALM042,35-44,Male,"New Orleans, LA",Sports and travel,74.22,10/5/20,Credit card,10
62,WALM078,55+,Male,"Houston, TX",Home and lifestyle,334.38,3/12/23,Ewallet,7
63,WALM037,25-34,Female,"St. Louis, MO",Sports and travel,495.63,3/8/21,Ewallet,10
64,WALM069,18-24,Non-Binary,"Portland, ME",Sports and travel,158.1,8/25/23,Credit card,8.6
65,WALM087,18-24,Female,"Sioux Falls, SD",Health and beauty,302.96,6/30/19,Cash,7.6
66,WALM042,45-54,Non-Binary,"Albuquerque, NM",Health and beauty,158.7,9/2/19,Cash,5.8
67,WALM020,55+,Female,"Manchester, NH",Health and beauty,66.94,2/20/20,Ewallet,6.7
68,WALM029,25-34,Female,"Minneapolis, MN",Fashion accessories,585.66,1/9/22,Ewallet,9.9
69,WALM079,45-54,Male,"Omaha, NE",Sports and travel,787.7,2/13/23,Cash,6.4
70,WALM035,55+,Male,"Baltimore, MD",Health and beauty,18.33,6/27/23,Cash,4.3
71,WALM007,18-24,Female,"Wilmington, DE",Food and beverages,894.8,10/20/23,Credit card,9.6
72,WALM017,35-44,Female,"Charleston, WV",Fashion accessories,621.2,7/16/22,Cash,5.9
73,WALM096,25-34,Prefer Not to Say,"Virginia Beach, VA",Food and beverages,145.56,8/9/23,Ewallet,4
74,WALM083,35-44,Male,"Little Rock, AR",Electronic accessories,455.46,2/8/23,Cash,8.7
75,WALM072,45-54,Non-Binary,"Omaha, NE",Home and lifestyle,672.03,1/31/23,Ewallet,9.4
76,WALM003,25-34,Male,"Providence, RI",Electronic accessories,416.5,10/30/22,Credit card,5.4
77,WALM058,25-34,Male,"Hartford, CT",Fashion accessories,441.36,8/3/20,Credit card,8.6
78,WALM094,55+,Non-Binary,"Birmingham, AL",Fashion accessories,180.09,10/7/20,Credit card,5.7
79,WALM063,35-44,Female,"Little Rock, AR",Food and beverages,783.1,1/15/21,Ewallet,6.6
80,WALM071,35-44,Female,"Baltimore, MD",Health and beauty,101.9,11/7/19,Cash,6
81,WALM061,25-34,Male,"Las Vegas, NV",Health and beauty,595.14,9/10/22,Credit card,5.5
82,WALM090,18-24,Non-Binary,"Louisville, KY",Food and beverages,290.04,8/26/23,Ewallet,6.4
83,WALM061,35-44,Non-Binary,"Omaha, NE",Food and beverages,154,6/8/23,Ewallet,6.6
84,WALM041,25-34,Non-Binary,"Seattle, WA",Food and beverages,321.44,3/10/20,Ewallet,8.3
85,WALM097,55+,Male,"Baltimore, MD",Sports and travel,244.55,10/7/19,Cash,6.6
86,WALM043,18-24,Prefer Not to Say,"Omaha, NE",Sports and travel,581.42,4/17/20,Ewallet,4
87,WALM042,18-24,Non-Binary,"Chicago, IL",Fashion accessories,382.6,4/15/20,Cash,9.9
88,WALM046,18-24,Male,"Providence, RI",Food and beverages,345.66,12/26/19,Credit card,7.3
89,WALM011,45-54,Female,"Milwaukee, WI",Sports and travel,42.47,5/11/21,Cash,5.7
90,WALM064,55+,Male,"Columbus, OH",Health and beauty,461.94,4/21/21,Cash,6.1
91,WALM095,25-34,Female,"Milwaukee, WI",Home and lifestyle,189.52,1/26/23,Cash,7.1
92,WALM049,35-44,Female,"New York City, NY",Sports and travel,448.6,7/14/19,Ewallet,8.2
93,WALM040,45-54,Male,"Birmingham, AL",Sports and travel,153.86,3/26/20,Ewallet,5.1
94,WALM065,18-24,Female,"Anchorage, AK",Health and beauty,579.24,8/1/20,Credit card,8.6
95,WALM075,35-44,Female,"Providence, RI",Health and beauty,89.75,7/21/21,Credit card,6.6
96,WALM034,25-34,Female,"Providence, RI",Electronic accessories,97.16,9/1/20,Ewallet,7.2
97,WALM014,35-44,Prefer Not to Say,"Charleston, SC",Health and beauty,878.7,7/3/23,Ewallet,5.1
98,WALM096,25-34,Male,"Chicago, IL",Electronic accessories,74.7,9/18/22,Cash,4.1
99,WALM004,45-54,Prefer Not to Say,"Houston, TX",Food and beverages,158.25,10/15/23,Ewallet,9.3
100,WALM011,35-44,Female,"Detroit, MI",Home and lifestyle,496.2,8/13/23,Cash,7.4
101,WALM075,45-54,Non-Binary,"Jackson, MS",Fashion accessories,48.71,4/1/23,Cash,4.1
102,WALM057,18-24,Male,"Philadelphia, PA",Fashion accessories,706.95,12/8/22,Cash,7.2
103,WALM023,45-54,Female,"Chicago, IL",Electronic accessories,207.63,6/8/21,Cash,4.9
104,WALM012,55+,Male,"Charleston, SC",Food and beverages,349.56,3/6/21,Cash,9.9
105,WALM078,55+,Prefer Not to Say,"St. Louis, MO",Health and beauty,212.45,9/17/19,Cash,8
106,WALM055,25-34,Prefer Not to Say,"Providence, RI",Electronic accessories,886.7,9/13/19,Ewallet,7.3
107,WALM038,35-44,Male,"Albuquerque, NM",Fashion accessories,164.28,9/29/20,Credit card,7.9
108,WALM049,55+,Prefer Not to Say,"Boston, MA",Sports and travel,372.78,5/25/23,Cash,7.4
109,WALM044,55+,Female,"Boston, MA",Food and beverages,305.82,5/3/19,Cash,4.2
110,WALM056,35-44,Female,"Anchorage, AK",Electronic accessories,819.7,10/29/21,Cash,9.2
111,WALM007,35-44,Female,"Manchester, NH",Sports and travel,32.98,2/7/20,Ewallet,4.6
112,WALM025,55+,Non-Binary,"Charleston, SC",Health and beauty,294.63,4/15/22,Credit card,7.8
113,WALM005,45-54,Female,"Anchorage, AK",Fashion accessories,509.88,12/12/21,Cash,8.4
114,WALM024,18-24,Female,"Wilmington, DE",Home and lifestyle,522.63,6/21/22,Ewallet,4.3
115,WALM003,25-34,Female,"Oklahoma City, OK",Home and lifestyle,727.11,6/12/20,Credit card,9.5
116,WALM087,25-34,Prefer Not to Say,"Oklahoma City, OK",Fashion accessories,81.06,2/10/19,Credit card,7.1
117,WALM040,25-34,Prefer Not to Say,"New York City, NY",Fashion accessories,109.7,12/21/21,Ewallet,5.3
118,WALM071,55+,Non-Binary,"Detroit, MI",Fashion accessories,51.36,3/12/22,Ewallet,5.2
119,WALM027,25-34,Female,"Columbus, OH",Food and beverages,109.6,10/16/21,Ewallet,6
120,WALM071,25-34,Prefer Not to Say,"Orlando, FL",Home and lifestyle,106.88,8/13/23,Ewallet,4.1
121,WALM014,18-24,Prefer Not to Say,"Anchorage, AK",Electronic accessories,796.48,8/25/22,Credit card,5.2
122,WALM069,35-44,Male,"Phoenix, AZ",Sports and travel,399.84,7/10/22,Credit card,6.5
123,WALM085,45-54,Male,"Nashville, TN",Sports and travel,899.64,6/9/19,Credit card,4.2
124,WALM061,25-34,Male,"Los Angeles, CA",Home and lifestyle,511.28,12/17/20,Credit card,4.6
125,WALM088,25-34,Non-Binary,"Newark, NJ",Fashion accessories,451.76,12/30/23,Ewallet,7.3
126,WALM034,35-44,Non-Binary,"Boston, MA",Home and lifestyle,655.83,4/21/22,Credit card,4.5
127,WALM016,35-44,Female,"Los Angeles, CA",Sports and travel,161.25,6/25/22,Cash,9
128,WALM044,45-54,Non-Binary,"Charleston, WV",Fashion accessories,285.57,7/9/21,Credit card,5.9
129,WALM035,35-44,Prefer Not to Say,"Burlington, VT",Food and beverages,548.32,12/4/23,Ewallet,8.5
130,WALM018,25-34,Non-Binary,"Providence, RI",Sports and travel,812.52,9/12/22,Ewallet,7.2
131,WALM022,45-54,Prefer Not to Say,"Wilmington, DE",Fashion accessories,277.34,4/23/19,Cash,7.5
132,WALM068,55+,Male,"Atlanta, GA",Sports and travel,552.78,6/10/20,Cash,8.3
133,WALM055,25-34,Female,"Portland, ME",Sports and travel,139.36,6/12/23,Cash,7.4
134,WALM002,25-34,Non-Binary,"Boston, MA",Electronic accessories,524.7,9/24/20,Credit card,8.8
135,WALM062,25-34,Male,"Las Vegas, NV",Health and beauty,487.8,2/23/22,Ewallet,5.3
136,WALM098,18-24,Prefer Not to Say,"Salt Lake City, UT",Fashion accessories,270.66,5/22/21,Cash,6.2
137,WALM027,25-34,Prefer Not to Say,"Wilmington, DE",Electronic accessories,131.55,4/26/19,Credit card,8.8
138,WALM093,35-44,Male,"Jackson, MS",Home and lifestyle,206.52,5/5/21,Cash,9.8
139,WALM029,35-44,Non-Binary,"Des Moines, IA",Sports and travel,519.1,8/11/22,Cash,8.2
140,WALM016,25-34,Non-Binary,"Indianapolis, IN",Sports and travel,580,5/10/20,Ewallet,9.2
141,WALM023,25-34,Male,"Boston, MA",Sports and travel,898,3/17/22,Credit card,5.4
142,WALM012,18-24,Non-Binary,"Las Vegas, NV",Health and beauty,905,11/3/22,Cash,8.1
143,WALM052,45-54,Female,"New Orleans, LA",Health and beauty,686,10/2/21,Cash,9.1
144,WALM097,35-44,Female,"Orlando, FL",Food and beverages,30.41,4/10/21,Credit card,8.4
145,WALM045,45-54,Female,"Newark, NJ",Home and lifestyle,467.7,12/13/22,Credit card,8
146,WALM047,25-34,Non-Binary,"Minneapolis, MN",Health and beauty,277.56,7/11/22,Credit card,9.5
147,WALM026,35-44,Female,"Houston, TX",Fashion accessories,301.4,5/23/21,Ewallet,9.2
148,WALM054,35-44,Prefer Not to Say,"Salt Lake City, UT",Health and beauty,264.56,7/31/20,Credit card,5.6
149,WALM049,18-24,Male,"Wilmington, DE",Home and lifestyle,574.88,2/14/23,Credit card,6.2
150,WALM065,45-54,Male,"Anchorage, AK",Health and beauty,259.68,5/21/22,Credit card,4.9
151,WALM016,18-24,Female,"Omaha, NE",Fashion accessories,366.16,11/12/22,Credit card,4.8
152,WALM070,18-24,Prefer Not to Say,"Wichita, KS",Sports and travel,241.92,3/3/21,Credit card,7.3
153,WALM099,25-34,Non-Binary,"Manchester, NH",Fashion accessories,749.16,2/6/20,Credit card,7.4
154,WALM071,25-34,Non-Binary,"Oklahoma City, OK",Food and beverages,98.88,2/6/22,Ewallet,9.9
155,WALM078,18-24,Non-Binary,"Cheyenne, WY",Sports and travel,647.76,8/15/21,Cash,9.3
156,WALM074,35-44,Female,"Columbus, OH",Food and beverages,461.45,3/27/19,Cash,9
157,WALM042,35-44,Non-Binary,"Anchorage, AK",Electronic accessories,72.17,4/2/23,Cash,6.1
158,WALM013,25-34,Female,"Salt Lake City, UT",Home and lifestyle,251.4,7/1/20,Ewallet,9.7
159,WALM100,25-34,Female,"New Orleans, LA",Health and beauty,874.98,3/6/23,Ewallet,6
160,WALM094,25-34,Prefer Not to Say,"Oklahoma City, OK",Sports and travel,560.34,8/29/19,Ewallet,10
161,WALM028,45-54,Male,"Columbus, OH",Food and beverages,345.44,4/2/23,Credit card,8.3
162,WALM019,25-34,Non-Binary,"Burlington, VT",Sports and travel,63.69,9/6/22,Cash,6
163,WALM011,35-44,Prefer Not to Say,"Louisville, KY",Food and beverages,320.53,2/25/23,Credit card,7
164,WALM084,55+,Female,"Philadelphia, PA",Sports and travel,152.8,9/11/22,Ewallet,6.5
165,WALM057,35-44,Male,"Detroit, MI",Food and beverages,399,11/8/20,Credit card,5.9
166,WALM088,45-54,Prefer Not to Say,"Oklahoma City, OK",Health and beauty,340.56,2/4/23,Ewallet,5.6
167,WALM061,18-24,Prefer Not to Say,"Hartford, CT",Home and lifestyle,955.8,7/19/21,Cash,4.8
168,WALM040,35-44,Female,"Boston, MA",Fashion accessories,989.8,12/11/21,Credit card,8.7
169,WALM069,18-24,Non-Binary,"Oklahoma City, OK",Food and beverages,307.68,4/10/20,Cash,6.5
170,WALM089,18-24,Non-Binary,"Charleston, SC",Sports and travel,486.64,7/2/19,Credit card,8.5
171,WALM031,55+,Male,"Albuquerque, NM",Health and beauty,350.05,7/18/19,Ewallet,5.5
172,WALM039,18-24,Male,"Omaha, NE",Food and beverages,400.25,10/8/19,Credit card,9.4
173,WALM039,45-54,Male,"Los Angeles, CA",Electronic accessories,166.8,6/17/22,Cash,6.3
174,WALM047,18-24,Non-Binary,"Birmingham, AL",Electronic accessories,317.34,10/15/22,Credit card,9.8
175,WALM071,55+,Prefer Not to Say,"Milwaukee, WI",Food and beverages,158.32,12/20/19,Ewallet,8.7
176,WALM060,25-34,Prefer Not to Say,"Oklahoma City, OK",Home and lifestyle,304.56,2/27/20,Ewallet,8.8
177,WALM073,18-24,Non-Binary,"Des Moines, IA",Food and beverages,177.36,12/24/19,Credit card,9.6
178,WALM059,18-24,Female,"Manchester, NH",Fashion accessories,157.57,7/7/21,Credit card,4.8
179,WALM012,18-24,Male,"Birmingham, AL",Food and beverages,443.28,6/21/20,Ewallet,4.4
180,WALM086,35-44,Non-Binary,"Indianapolis, IN",Health and beauty,260.4,10/24/22,Ewallet,9.9
181,WALM073,25-34,Non-Binary,"Cheyenne, WY",Fashion accessories,449.82,6/10/19,Cash,5.7
182,WALM028,55+,Prefer Not to Say,"Hartford, CT",Food and beverages,307.76,7/12/20,Cash,7.7
183,WALM053,25-34,Female,"St. Louis, MO",Sports and travel,155,8/9/23,Ewallet,8
184,WALM024,45-54,Male,"Portland, OR",Health and beauty,274.48,10/8/21,Ewallet,5.7
185,WALM097,55+,Non-Binary,"Indianapolis, IN",Sports and travel,86.38,8/27/19,Credit card,6.7
186,WALM072,18-24,Female,"Little Rock, AR",Food and beverages,54.24,2/4/23,Ewallet,8
187,WALM023,25-34,Female,"Philadelphia, PA",Home and lifestyle,755.92,12/23/22,Ewallet,7.5
188,WALM038,55+,Male,"Indianapolis, IN",Home and lifestyle,185.88,3/18/23,Cash,7
189,WALM078,25-34,Female,"Charlotte, NC",Home and lifestyle,74.07,6/28/20,Ewallet,9.9
190,WALM084,55+,Female,"Hartford, CT",Home and lifestyle,279.24,4/4/21,Credit card,5.9
191,WALM059,45-54,Male,"Honolulu, HI",Home and lifestyle,231.12,4/6/22,Credit card,7.2
192,WALM062,45-54,Female,"Orlando, FL",Fashion accessories,147.04,5/22/20,Ewallet,4.6
193,WALM090,55+,Non-Binary,"Orlando, FL",Food and beverages,790.2,12/2/22,Cash,9.2
194,WALM015,35-44,Female,"St. Louis, MO",Home and lifestyle,102.2,5/4/22,Ewallet,5.7
195,WALM003,18-24,Female,"Wichita, KS",Electronic accessories,163.55,10/6/21,Credit card,9.9
196,WALM066,18-24,Male,"Baltimore, MD",Fashion accessories,74.29,12/30/22,Cash,5
197,WALM079,18-24,Male,"Des Moines, IA",Health and beauty,87.4,2/3/19,Cash,4.9
198,WALM002,25-34,Female,"Los Angeles, CA",Home and lifestyle,25.29,8/5/20,Ewallet,6.1
199,WALM094,25-34,Non-Binary,"Boise, ID",Health and beauty,166,8/7/20,Credit card,8.2
200,WALM047,35-44,Prefer Not to Say,"Albuquerque, NM",Food and beverages,356.95,7/18/23,Credit card,5.5
201,WALM100,55+,Male,"Chicago, IL",Sports and travel,114.9,3/11/22,Credit card,6.8
202,WALM005,25-34,Non-Binary,"Oklahoma City, OK",Electronic accessories,229.96,11/8/19,Cash,6.6
203,WALM086,45-54,Prefer Not to Say,"Baltimore, MD",Electronic accessories,429.87,2/26/20,Cash,9.8
204,WALM029,18-24,Female,"Billings, MT",Health and beauty,259,10/12/20,Ewallet,8.7
205,WALM065,45-54,Female,"Philadelphia, PA",Home and lifestyle,88.85,5/5/19,Credit card,5.4
206,WALM085,18-24,Non-Binary,"Atlanta, GA",Health and beauty,207.27,12/11/19,Ewallet,7.9
207,WALM034,18-24,Prefer Not to Say,"Phoenix, AZ",Electronic accessories,599.85,6/2/19,Credit card,9.7
208,WALM055,35-44,Non-Binary,"Columbus, OH",Home and lifestyle,285.3,4/29/21,Ewallet,7.8
209,WALM043,55+,Non-Binary,"Los Angeles, CA",Fashion accessories,91.11,12/25/19,Ewallet,5.1
210,WALM003,25-34,Non-Binary,"Las Vegas, NV",Electronic accessories,897.57,10/22/21,Credit card,6.5
211,WALM050,25-34,Female,"Newark, NJ",Electronic accessories,236.07,2/24/21,Ewallet,5.9
212,WALM057,55+,Female,"Los Angeles, CA",Food and beverages,839.34,10/2/21,Cash,8.8
213,WALM088,45-54,Prefer Not to Say,"Phoenix, AZ",Home and lifestyle,461.8,8/31/22,Ewallet,4.9
214,WALM093,35-44,Female,"St. Louis, MO",Sports and travel,139.26,3/12/22,Credit card,4.4
215,WALM065,18-24,Female,"Omaha, NE",Sports and travel,207.27,4/30/21,Cash,6.5
216,WALM072,25-34,Female,"Oklahoma City, OK",Home and lifestyle,18.28,11/30/19,Credit card,8.3
217,WALM038,55+,Non-Binary,"Detroit, MI",Sports and travel,123.85,8/21/22,Cash,8.5
218,WALM081,35-44,Prefer Not to Say,"Billings, MT",Electronic accessories,283.92,9/15/21,Cash,5.5
219,WALM043,35-44,Male,"Las Vegas, NV",Fashion accessories,758.96,2/23/23,Ewallet,8.7
220,WALM044,35-44,Non-Binary,"Fargo, ND",Food and beverages,172.02,9/9/22,Credit card,7.9
221,WALM002,18-24,Prefer Not to Say,"Jackson, MS",Electronic accessories,272.1,1/5/23,Ewallet,6.1
222,WALM056,45-54,Prefer Not to Say,"Milwaukee, WI",Food and beverages,434.56,5/25/19,Ewallet,5.4
223,WALM020,25-34,Male,"Omaha, NE",Electronic accessories,59.05,3/18/21,Cash,9.4
224,WALM026,18-24,Male,"Little Rock, AR",Fashion accessories,12.54,9/18/20,Cash,8.2
225,WALM003,45-54,Male,"Orlando, FL",Food and beverages,86.5,3/31/20,Cash,6.2
226,WALM067,18-24,Non-Binary,"Charleston, WV",Sports and travel,174.32,6/25/21,Credit card,9.7
227,WALM059,35-44,Male,"Boston, MA",Health and beauty,624.33,7/19/21,Ewallet,4
228,WALM068,25-34,Female,"New York City, NY",Electronic accessories,148.24,5/18/23,Ewallet,9.7
229,WALM049,18-24,Prefer Not to Say,"Birmingham, AL",Electronic accessories,544.2,8/30/22,Cash,5.3
230,WALM087,18-24,Prefer Not to Say,"Cheyenne, WY",Home and lifestyle,507.36,8/17/21,Ewallet,7.4
231,WALM007,18-24,Non-Binary,"Honolulu, HI",Fashion accessories,162.74,11/18/19,Cash,6.5
232,WALM024,18-24,Non-Binary,"Billings, MT",Electronic accessories,31.77,12/25/19,Credit card,8.7
233,WALM059,55+,Non-Binary,"Nashville, TN",Health and beauty,756.81,2/12/23,Cash,8
234,WALM045,45-54,Prefer Not to Say,"Milwaukee, WI",Fashion accessories,295.28,4/8/19,Credit card,6.7
235,WALM069,55+,Female,"Portland, OR",Health and beauty,519.4,4/9/23,Ewallet,6.5
236,WALM084,45-54,Non-Binary,"Indianapolis, IN",Sports and travel,186.28,3/3/20,Ewallet,4.1
237,WALM068,25-34,Male,"Birmingham, AL",Health and beauty,87.05,10/10/19,Credit card,4.9
238,WALM023,55+,Prefer Not to Say,"Salt Lake City, UT",Fashion accessories,221.1,6/23/20,Credit card,8.6
239,WALM040,18-24,Female,"St. Louis, MO",Electronic accessories,66.1,3/15/23,Cash,4.3
240,WALM085,35-44,Non-Binary,"Anchorage, AK",Fashion accessories,89.69,2/12/20,Ewallet,4.9
241,WALM009,45-54,Non-Binary,"Detroit, MI",Food and beverages,224.46,10/17/21,Credit card,5.6
242,WALM100,55+,Non-Binary,"Salt Lake City, UT",Health and beauty,119.54,8/8/20,Credit card,5.8
243,WALM077,18-24,Female,"Des Moines, IA",Fashion accessories,186.4,7/23/19,Credit card,6
244,WALM034,55+,Male,"Detroit, MI",Home and lifestyle,250.6,5/5/23,Cash,4.2
245,WALM070,18-24,Non-Binary,"Albuquerque, NM",Home and lifestyle,750.96,2/21/22,Credit card,8.3
246,WALM021,25-34,Female,"Portland, OR",Home and lifestyle,380.72,2/8/22,Cash,5.7
247,WALM044,55+,Non-Binary,"Manchester, NH",Electronic accessories,244.2,11/23/21,Cash,4.8
248,WALM055,45-54,Male,"Virginia Beach, VA",Fashion accessories,89.7,12/8/20,Ewallet,6.8
249,WALM019,45-54,Female,"Sioux Falls, SD",Electronic accessories,310.88,9/4/20,Credit card,8.8
250,WALM026,25-34,Non-Binary,"Fargo, ND",Food and beverages,511.42,6/12/20,Credit card,4.2
251,WALM033,25-34,Prefer Not to Say,"Newark, NJ",Food and beverages,418.95,4/30/22,Ewallet,6.4
252,WALM078,55+,Male,"Charleston, SC",Fashion accessories,351.9,10/20/20,Credit card,8.4
253,WALM066,55+,Male,"Seattle, WA",Sports and travel,28.78,2/16/22,Credit card,7.2
254,WALM011,18-24,Female,"Sioux Falls, SD",Home and lifestyle,95,2/22/20,Cash,5.2
255,WALM016,18-24,Female,"Cheyenne, WY",Home and lifestyle,471.2,9/19/19,Cash,8.9
256,WALM048,45-54,Non-Binary,"Detroit, MI",Fashion accessories,130.48,9/5/20,Cash,9
257,WALM067,25-34,Male,"Chicago, IL",Electronic accessories,66.35,3/7/20,Credit card,9.7
258,WALM049,25-34,Female,"Milwaukee, WI",Home and lifestyle,155.46,12/23/23,Ewallet,8.7
259,WALM029,18-24,Non-Binary,"Hartford, CT",Electronic accessories,129,8/26/20,Ewallet,6.5
260,WALM100,25-34,Non-Binary,"Nashville, TN",Electronic accessories,263.76,11/17/21,Credit card,6.9
261,WALM074,18-24,Prefer Not to Say,"Louisville, KY",Electronic accessories,675.54,7/21/21,Cash,6.2
262,WALM019,35-44,Female,"Charlotte, NC",Fashion accessories,65.8,6/5/21,Ewallet,5.6
263,WALM022,35-44,Non-Binary,"Las Vegas, NV",Fashion accessories,153.2,9/9/20,Cash,5.7
264,WALM099,25-34,Male,"Milwaukee, WI",Sports and travel,222.4,4/6/21,Cash,4.2
265,WALM095,55+,Prefer Not to Say,"Boise, ID",Sports and travel,54.45,9/8/22,Ewallet,7.9
